Crisis ID,Type of Personal Crisis,What,Where,When,How,Severity,Duration
2496,Financial Problem,bankruptcy,"USCGC Kennedy, FPO AE 72913",17-12-2021 03:20,money issue,low,within 6 hours
2497,Health Issue,injury,"Unit 4877 Box 4043, DPO AP 88170",08-01-2020 10:19,sickness,high,within 3 hours
2498,Substance Abuse,drug abuse,"PSC 7406, Box 0207, APO AP 22240",27-09-2022 21:24,addiction,very low,within 6 hours
2499,Financial Problem,debt,"080 Miller Bridge Apt. 616, East Graceton, NV 60721",22-04-2021 11:42,money issue,high,within 3 hours
2500,Health Issue,illness,"0493 Henderson Trail Suite 107, Chavezland, KS 61304",12-09-2021 15:00,sickness,low,within 4 hours
2501,Relationship Issue,relationship issue,"185 Brown Parks Apt. 961, Philiphaven, OK 37712",08-04-2022 08:48,relationship issue,low,within 6 hours
2502,Health Issue,medical condition,"73654 Adkins Rapids Suite 157, East Jason, KY 77201",06-03-2021 10:33,sickness,high,within 2 hours
2503,Financial Problem,bankruptcy,"50515 Amanda Mews, North Allison, FM 79761",03-11-2023 19:32,poverty,low,within 6 hours
2504,Mental Health Concern,depression,"21166 Stephen Gardens, Wilsonchester, CO 17733",09-01-2020 05:32,depression,low,within 5 hours
2505,Health Issue,medical condition,"4623 Katherine Parks, West Joseph, PW 02210",06-07-2021 12:54,medical condition,very low,within 6 hours
2506,Substance Abuse,dependency,"79203 David Drive Suite 182, Rubenburgh, AK 77397",27-08-2023 13:34,dependency,very high,within 5 hours
2507,Health Issue,sickness,"9957 Wilson Motorway, East Debbie, AS 46136",06-03-2021 03:43,medical condition,moderate,within 6 hours
2508,Mental Health Concern,stress,"14552 Andrews Fords, Port Philip, LA 18840",29-07-2020 14:50,mental health concern,moderate,within 2 hours
2509,Relationship Issue,relationship issue,"8346 Mark Islands, New Tami, DE 41392",12-05-2021 14:39,divorce,high,within 4 hours
2510,Relationship Issue,family conflict,"667 William Ramp, East Amanda, GA 34231",29-02-2020 15:30,divorce,high,within 2 hours
2511,Substance Abuse,alcoholism,"60636 Heather Avenue, Sherriburgh, MN 02027",11-11-2020 22:12,dependency,moderate,within 2 hours
2512,Financial Problem,bankruptcy,"69295 Williams Creek, Port Jamesmouth, PW 39480",13-11-2021 17:38,bankruptcy,very high,within 4 hours
2513,Mental Health Concern,trauma,"PSC 5299, Box 4516, APO AP 15802",30-04-2023 17:07,trauma,low,within 2 hours
2514,Mental Health Concern,trauma,"0867 Cunningham Crest, West Brittanytown, MP 03885",05-08-2020 08:38,trauma,high,within 2 hours
2515,Relationship Issue,breakup,"05535 Robert Lodge, Browningshire, LA 55233",23-03-2023 10:58,divorce,high,within 2 hours
2516,Substance Abuse,addiction,"12734 Ward Course, Teresaberg, AS 03446",11-08-2023 07:34,drug abuse,moderate,within 2 hours
2517,Financial Problem,debt,"4854 James Motorway, Harperberg, CO 59440",14-06-2020 15:38,money issue,high,within 1 hour
2518,Health Issue,health issue,"PSC 2404, Box 5990, APO AE 62907",25-02-2023 14:31,health issue,moderate,within 4 hours
2519,Health Issue,injury,"86761 Henderson Springs, Tammymouth, PA 67823",29-05-2020 21:52,medical condition,very high,within 5 hours
2520,Substance Abuse,drug abuse,"5948 Chad Row Suite 056, Lake Andreastad, ID 49361",01-05-2021 01:57,dependency,moderate,within 2 hours
2521,Financial Problem,bankruptcy,"02219 Cox Passage Apt. 241, Rioschester, PA 57959",20-10-2021 07:22,financial problem,high,within 4 hours
2522,Mental Health Concern,stress,"943 Matthew Fords Apt. 057, New Mirandamouth, KY 78136",16-03-2021 16:08,mental health concern,very high,within 6 hours
2523,Mental Health Concern,trauma,"2635 Stacy Stravenue, Sethport, GA 46968",25-12-2021 08:08,mental health concern,moderate,within 6 hours
2524,Health Issue,illness,"563 Allen Plains, East Jeffreyville, TX 24332",15-03-2024 19:03,medical condition,very high,within 3 hours
2525,Financial Problem,bankruptcy,"319 Kevin Ville, Lake Nathanielmouth, IL 29344",18-08-2023 16:58,financial problem,moderate,within 5 hours
2526,Relationship Issue,divorce,"222 Stewart Highway Suite 460, Dudleymouth, TX 30621",24-07-2020 18:26,loneliness,moderate,within 4 hours
2527,Financial Problem,poverty,"573 Janice Crescent, Davisstad, AL 63585",27-05-2021 03:35,debt,very high,within 2 hours
2528,Financial Problem,debt,"6112 James Valleys Suite 218, Angelaton, FM 44771",05-12-2022 06:34,financial problem,high,within 5 hours
2529,Relationship Issue,divorce,"318 Yu Neck Apt. 475, Port Bonniechester, NC 20902",31-05-2021 02:02,relationship issue,very low,within 6 hours
2530,Mental Health Concern,anxiety,"903 Melvin Green, Amandamouth, NV 57782",25-01-2022 01:23,trauma,very high,within 6 hours
2531,Substance Abuse,addiction,"829 Johnson Isle Apt. 645, Lake Lawrencefort, AK 09622",07-12-2023 13:24,drug abuse,very low,within 4 hours
2532,Relationship Issue,breakup,"3338 Dawson Garden, South Maurice, PA 26614",02-01-2021 02:49,divorce,moderate,within 6 hours
2533,Relationship Issue,loneliness,"3356 Green Manors, Elizabethport, WY 37611",04-10-2022 12:10,family conflict,low,within 4 hours
2534,Mental Health Concern,anxiety,"316 Winters Forges Apt. 605, Pamview, TX 61725",16-05-2022 23:46,anxiety,moderate,within 3 hours
2535,Mental Health Concern,depression,"691 Cochran Plains Apt. 158, West Davidville, ME 29511",28-07-2020 16:08,depression,moderate,within 4 hours
2536,Financial Problem,money issue,"05045 Stewart Land Apt. 881, Nataliefurt, SC 77932",04-11-2023 13:35,debt,very high,within 6 hours
2537,Substance Abuse,alcoholism,"621 Smith Drive Apt. 015, West Stanley, CT 19880",30-07-2020 12:19,addiction,very low,within 3 hours
2538,Health Issue,injury,"2118 Justin Forge Apt. 982, Navarroton, MS 02300",24-05-2020 19:55,illness,very high,within 3 hours
2539,Relationship Issue,loneliness,"38883 Reese Points Apt. 506, North Jesseberg, MI 66867",27-05-2020 10:55,divorce,high,within 1 hour
2540,Substance Abuse,alcoholism,"9377 Mills Well Suite 061, South Lindachester, NV 16913",29-08-2021 21:47,addiction,very low,within 1 hour
2541,Substance Abuse,drug abuse,"34975 Roberts Square Apt. 724, South Deniseland, GU 71317",18-06-2023 10:33,alcoholism,low,within 1 hour
2542,Mental Health Concern,trauma,"81985 Ray Trail, Rodriguezton, MH 42083",21-02-2022 07:49,anxiety,very low,within 4 hours
2543,Financial Problem,bankruptcy,"4187 Taylor Haven, Williamburgh, MH 49065",22-04-2020 16:24,bankruptcy,moderate,within 2 hours
2544,Relationship Issue,loneliness,"446 Sarah Station Suite 066, Williamsside, CA 10124",02-01-2024 05:57,family conflict,low,within 5 hours
2545,Mental Health Concern,stress,"11199 Strong Island Apt. 600, South Jasonhaven, WV 87289",08-02-2023 05:26,anxiety,low,within 4 hours
2546,Mental Health Concern,trauma,"371 Cunningham Land Apt. 863, West Jacqueline, PR 96971",02-04-2023 13:18,depression,very high,within 3 hours
2547,Financial Problem,debt,"04257 Peter Cliff Suite 108, Townsendton, WI 26038",26-11-2023 07:20,poverty,very high,within 3 hours
2548,Relationship Issue,family conflict,"043 Mooney Point, Juliemouth, MN 93605",01-08-2023 20:28,loneliness,low,within 1 hour
2549,Relationship Issue,relationship issue,"1186 Teresa Lane, East Michaelchester, MS 73427",29-04-2022 14:57,family conflict,very low,within 3 hours
2550,Mental Health Concern,mental health concern,"2325 Bryan Gardens Apt. 491, South Michael, FM 17634",22-02-2021 05:57,trauma,low,within 1 hour
2551,Financial Problem,debt,"PSC 7025, Box 4783, APO AP 28742",28-03-2020 07:11,financial problem,very high,within 6 hours
2552,Health Issue,illness,"PSC 9526, Box 0053, APO AE 12613",21-04-2023 03:22,sickness,very low,within 5 hours
2553,Financial Problem,debt,"30472 Johnny Extensions Suite 132, Lake Joyce, ND 19949",23-04-2023 01:45,debt,moderate,within 1 hour
2554,Substance Abuse,substance abuse,"568 Strickland Summit, Taylorburgh, MP 16575",07-04-2022 21:17,addiction,moderate,within 1 hour
2555,Health Issue,sickness,"5566 Cassandra Road, Jessicabury, OH 94497",18-06-2020 07:34,health issue,moderate,within 5 hours
2556,Financial Problem,poverty,"64778 Diana Parkway, Jeffreyland, KY 05133",20-12-2021 14:55,poverty,very low,within 4 hours
2557,Relationship Issue,family conflict,"08759 Cheryl Mission Suite 706, Carolmouth, WY 99223",01-03-2023 09:21,divorce,high,within 4 hours
2558,Substance Abuse,substance abuse,"8589 Holland Locks, East Ashley, MD 07946",31-05-2020 21:55,substance abuse,very low,within 5 hours
2559,Relationship Issue,loneliness,"Unit 9621 Box 7556, DPO AE 13087",21-01-2023 16:49,loneliness,very high,within 2 hours
2560,Relationship Issue,breakup,"831 Potter Orchard, New Troy, IL 42092",06-04-2023 23:10,loneliness,very high,within 6 hours
2561,Substance Abuse,addiction,"3452 Andrew Centers, Mercedestown, UT 48725",03-04-2024 10:10,alcoholism,very high,within 1 hour
2562,Financial Problem,bankruptcy,"0735 Stevens Grove Suite 300, North Timton, VI 97971",06-04-2023 06:56,financial problem,very high,within 1 hour
2563,Substance Abuse,drug abuse,"09010 Hall Heights, Megantown, WY 93682",07-05-2020 01:53,addiction,high,within 3 hours
2564,Relationship Issue,breakup,"PSC 0630, Box 5150, APO AA 66130",08-08-2022 11:51,relationship issue,very low,within 2 hours
2565,Relationship Issue,relationship issue,"10871 Aguirre Parkways Suite 885, Jonesberg, MO 30563",23-08-2020 19:19,family conflict,high,within 5 hours
2566,Substance Abuse,substance abuse,"090 Herring Gardens, West Sharonville, MI 70196",28-05-2021 20:08,substance abuse,high,within 5 hours
2567,Substance Abuse,dependency,"1448 Murphy Road Suite 131, Westport, MP 31450",28-12-2021 05:34,dependency,very high,within 3 hours
2568,Health Issue,medical condition,"70237 Jonathan Gateway Suite 650, Danielsshire, GU 73030",09-01-2022 07:16,medical condition,very high,within 1 hour
2569,Mental Health Concern,stress,"299 Erin Meadow Apt. 665, Berryhaven, AZ 29834",16-03-2022 11:15,depression,high,within 2 hours
2570,Financial Problem,poverty,"USNV Lloyd, FPO AE 73216",23-11-2021 16:49,money issue,very low,within 4 hours
2571,Substance Abuse,drug abuse,"99894 Belinda Crest Suite 589, East Rebecca, AR 62407",13-12-2020 01:05,substance abuse,high,within 5 hours
2572,Financial Problem,debt,"84816 Spencer Mount, West Ann, RI 89206",30-05-2020 08:13,poverty,low,within 5 hours
2573,Financial Problem,financial problem,"034 Martin Fords Suite 538, Dickersonport, MP 68253",03-04-2024 21:32,poverty,very low,within 2 hours
2574,Relationship Issue,family conflict,"75933 Carr Vista, East Michael, CT 29667",18-12-2023 08:00,divorce,high,within 5 hours
2575,Health Issue,health issue,"7533 Stuart Plain Apt. 421, Paulfurt, NE 59261",18-04-2021 19:47,injury,low,within 5 hours
2576,Health Issue,injury,"USS Gutierrez, FPO AE 46490",27-04-2021 06:43,medical condition,low,within 1 hour
2577,Relationship Issue,breakup,"Unit 8108 Box 9764, DPO AA 49493",30-08-2021 15:05,breakup,very high,within 6 hours
2578,Relationship Issue,loneliness,"0526 Travis Knolls, Weaverbury, KS 59296",10-11-2023 09:04,loneliness,very high,within 2 hours
2579,Financial Problem,financial problem,"PSC 8564, Box 8492, APO AE 04243",31-01-2022 07:49,bankruptcy,low,within 2 hours
2580,Relationship Issue,divorce,"5904 Paul Trail Suite 883, West Anthonyview, CO 79729",07-04-2023 10:40,relationship issue,high,within 6 hours
2581,Substance Abuse,dependency,"6946 Martin Drive, North Mark, MT 35305",16-09-2023 06:30,addiction,very high,within 4 hours
2582,Mental Health Concern,mental health concern,"445 Martin Mountains Suite 340, Martinshire, KS 08114",10-05-2023 22:01,depression,high,within 1 hour
2583,Financial Problem,poverty,"1590 Shawn Cape, East Nancyshire, IA 14801",02-06-2020 18:27,bankruptcy,very low,within 6 hours
2584,Financial Problem,bankruptcy,"5292 Murphy Spurs Apt. 381, Perezfort, NH 76056",06-08-2021 20:43,financial problem,very high,within 3 hours
2585,Health Issue,injury,"1909 Jones Light Apt. 993, West Mitchell, KS 72706",16-10-2020 14:45,illness,low,within 4 hours
2586,Substance Abuse,addiction,"168 Johnson Corners, East Christopher, ND 31079",28-07-2021 05:40,drug abuse,high,within 6 hours
2587,Substance Abuse,addiction,"917 Joshua Ferry Apt. 429, South Tiffanyton, NM 02169",28-08-2021 22:59,alcoholism,very high,within 5 hours
2588,Relationship Issue,relationship issue,"Unit 9550 Box 2197, DPO AE 86904",26-01-2022 12:16,loneliness,high,within 2 hours
2589,Health Issue,sickness,"24323 Lisa Estates, North Melissa, WI 88032",09-06-2023 14:52,illness,moderate,within 6 hours
2590,Substance Abuse,dependency,"856 Dominique Lodge Suite 212, North Brandonstad, IA 57013",13-05-2023 04:28,dependency,low,within 2 hours
2591,Financial Problem,money issue,"737 Morales Square, Millerville, KY 79218",13-03-2022 14:42,financial problem,low,within 2 hours
2592,Substance Abuse,alcoholism,"470 Ronald Lights, West Daveland, WY 60988",03-03-2023 10:39,drug abuse,very low,within 2 hours
2593,Financial Problem,poverty,"PSC 8607, Box 0890, APO AA 36873",10-09-2021 13:40,poverty,moderate,within 2 hours
2594,Relationship Issue,divorce,"USCGC Johnson, FPO AE 30235",30-06-2022 23:48,loneliness,low,within 1 hour
2595,Financial Problem,debt,"929 Summers Circles Apt. 782, Michaelport, IN 80930",18-12-2023 01:21,financial problem,very high,within 3 hours
2596,Financial Problem,bankruptcy,"62894 Kevin Parkways Suite 688, West Deborahshire, GU 87725",02-07-2021 12:05,poverty,very high,within 2 hours
2597,Relationship Issue,breakup,"4528 Smith Mills Suite 915, Port Joshua, WV 72287",12-06-2023 01:49,breakup,very low,within 5 hours
2598,Financial Problem,debt,"07350 Medina Rest, South Jacob, FM 38719",23-07-2020 17:03,financial problem,low,within 6 hours
2599,Financial Problem,poverty,"158 Thompson Courts Suite 181, Traciview, OH 66978",21-11-2021 17:56,money issue,moderate,within 6 hours
2600,Financial Problem,debt,"93812 James Wells, Kathrynborough, WI 15638",16-08-2023 12:42,bankruptcy,very low,within 2 hours
2601,Relationship Issue,relationship issue,"USS Wong, FPO AA 41261",31-03-2020 02:00,divorce,high,within 3 hours
2602,Relationship Issue,relationship issue,"28688 Richard Locks Apt. 286, East Stacey, OR 69905",21-05-2021 05:01,divorce,very high,within 6 hours
2603,Financial Problem,financial problem,"36952 Carol Ville, New Heatherville, NY 46731",10-10-2021 03:54,money issue,high,within 4 hours
2604,Substance Abuse,drug abuse,"64159 Cynthia Vista Suite 399, Lopezview, UT 88880",03-06-2023 11:42,substance abuse,very high,within 6 hours
2605,Substance Abuse,alcoholism,"1054 Lisa Via, Lake Jenniferside, OK 91162",07-03-2020 05:03,addiction,high,within 3 hours
2606,Relationship Issue,loneliness,"5970 Thomas Drives, Wadeborough, CO 87120",07-03-2023 13:03,loneliness,high,within 6 hours
2607,Substance Abuse,substance abuse,"25572 Megan Walk Suite 020, Christophermouth, KY 61494",20-02-2020 00:05,substance abuse,very low,within 2 hours
2608,Substance Abuse,substance abuse,"684 Dennis Island, South Morganberg, UT 52131",29-08-2021 06:30,dependency,very low,within 2 hours
2609,Substance Abuse,addiction,"PSC 1699, Box 3569, APO AA 56300",26-08-2020 22:01,addiction,very low,within 5 hours
2610,Financial Problem,poverty,"345 Valerie Lodge Suite 481, Baldwinborough, KY 89003",12-03-2024 20:49,money issue,very high,within 5 hours
2611,Substance Abuse,dependency,"510 Gutierrez Cape, New Jeffrey, LA 69742",08-06-2022 06:00,drug abuse,high,within 2 hours
2612,Health Issue,injury,"135 Jeremy Vista, Gillmouth, WY 29789",08-01-2024 04:51,illness,moderate,within 6 hours
2613,Mental Health Concern,anxiety,"USNS Ross, FPO AP 25151",27-02-2022 19:03,depression,very low,within 5 hours
2614,Mental Health Concern,depression,"59963 Lopez Manors, Port Melissa, IN 06238",05-11-2022 03:57,stress,very low,within 2 hours
2615,Substance Abuse,addiction,"179 Nancy Parkways, Lake Jasmineburgh, VT 54789",19-02-2022 20:02,dependency,very low,within 2 hours
2616,Relationship Issue,divorce,"4675 Vargas Mountains Suite 915, Lake Kellyside, CA 51058",08-10-2022 11:02,loneliness,low,within 2 hours
2617,Substance Abuse,alcoholism,"84870 Joseph Trail, Harrisonhaven, ID 83158",09-04-2022 06:32,alcoholism,high,within 3 hours
2618,Mental Health Concern,depression,"18945 Gonzales Point, East Judith, DC 38004",23-08-2020 08:46,anxiety,moderate,within 6 hours
2619,Relationship Issue,family conflict,"194 Amanda Plain, South Jason, NH 62433",14-03-2022 13:28,breakup,very high,within 2 hours
2620,Financial Problem,financial problem,"USCGC Moore, FPO AA 99602",19-03-2024 10:05,financial problem,very low,within 1 hour
2621,Relationship Issue,loneliness,"4559 Kathleen Orchard Apt. 402, East Amber, WV 65262",07-08-2022 16:28,relationship issue,moderate,within 3 hours
2622,Financial Problem,money issue,"36307 Cesar Circles Apt. 822, Meyermouth, SC 90311",23-03-2022 14:19,debt,very low,within 5 hours
2623,Substance Abuse,dependency,"8521 Dylan Court, Carterton, VT 82630",16-09-2021 00:41,substance abuse,high,within 2 hours
2624,Substance Abuse,dependency,"004 Johnson Curve Apt. 410, Amberview, NC 27424",03-10-2023 21:38,alcoholism,high,within 5 hours
2625,Relationship Issue,divorce,"0181 Adkins Shoals, South Brandon, KS 68316",13-03-2024 05:40,breakup,very low,within 5 hours
2626,Health Issue,health issue,"19638 Jeffrey Expressway, Lake Dawnshire, NV 14950",04-06-2022 21:46,sickness,very high,within 1 hour
2627,Mental Health Concern,trauma,"5769 Harper Pine Apt. 127, New Teresaton, PR 05095",14-09-2023 12:47,mental health concern,very low,within 5 hours
2628,Health Issue,sickness,"396 Curtis Walk, North Christopherside, RI 54750",24-01-2021 12:20,medical condition,high,within 1 hour
2629,Relationship Issue,loneliness,"55233 Dixon Garden, Shieldsview, MI 80097",22-03-2020 06:59,divorce,moderate,within 2 hours
2630,Health Issue,health issue,"Unit 9752 Box 6150, DPO AP 95925",29-02-2020 07:42,sickness,very low,within 2 hours
2631,Substance Abuse,substance abuse,"88094 Brenda Forest, Michelleland, ME 37895",31-03-2024 13:05,dependency,very low,within 5 hours
2632,Relationship Issue,relationship issue,"USS Wood, FPO AA 05770",25-11-2021 21:12,breakup,very high,within 4 hours
2633,Health Issue,medical condition,"42811 Smith Tunnel Apt. 164, North Sarah, NC 04230",29-10-2021 15:08,health issue,very high,within 1 hour
2634,Relationship Issue,family conflict,"Unit 5547 Box 3389, DPO AP 02250",09-03-2021 22:54,divorce,high,within 6 hours
2635,Financial Problem,financial problem,"72976 Katherine Station Suite 942, New Justin, RI 44643",20-11-2021 12:27,debt,very low,within 5 hours
2636,Substance Abuse,substance abuse,"18193 Claudia Mountain, North Aliciaside, DC 45305",15-09-2023 13:02,substance abuse,very low,within 3 hours
2637,Substance Abuse,drug abuse,"USNS Watkins, FPO AA 55533",17-03-2020 11:33,substance abuse,moderate,within 5 hours
2638,Relationship Issue,relationship issue,"5463 Armstrong Lane, East Cynthia, FM 14566",11-07-2023 15:09,breakup,very low,within 1 hour
2639,Health Issue,health issue,"09957 Damon Mall Suite 590, North Samanthaview, CO 65720",26-01-2022 02:51,medical condition,very low,within 2 hours
2640,Substance Abuse,substance abuse,"092 Smith Neck Suite 290, Lake Ryanhaven, MA 05148",15-09-2022 06:24,drug abuse,high,within 1 hour
2641,Substance Abuse,drug abuse,"5386 Sean Lane Suite 192, West Andrehaven, MS 27005",20-08-2022 10:47,dependency,very high,within 1 hour
2642,Health Issue,health issue,"92375 Cross Unions Suite 818, Victormouth, OR 77381",12-02-2024 06:58,medical condition,very low,within 5 hours
2643,Health Issue,medical condition,"001 Frye View Apt. 162, Port Gabrielleburgh, LA 21404",11-05-2021 14:59,illness,very low,within 4 hours
2644,Relationship Issue,divorce,"20054 Ronald Vista, Thomasmouth, SD 67275",17-12-2021 01:21,family conflict,high,within 4 hours
2645,Financial Problem,debt,"11220 Olivia Centers, Walshside, FL 93434",22-09-2020 03:21,financial problem,low,within 2 hours
2646,Substance Abuse,substance abuse,"319 Stephenson Drives, Donaldfort, DC 15346",23-04-2022 19:37,substance abuse,very low,within 4 hours
2647,Relationship Issue,family conflict,"00908 Brooks Route, East Amanda, MS 30467",30-10-2022 21:53,divorce,moderate,within 5 hours
2648,Financial Problem,poverty,"881 Robin Falls Suite 482, Patrickberg, MO 45598",12-11-2022 20:34,poverty,moderate,within 3 hours
2649,Mental Health Concern,mental health concern,"USCGC Brown, FPO AP 96479",04-02-2024 09:59,mental health concern,very high,within 6 hours
2650,Substance Abuse,drug abuse,"447 Michelle Landing, Reyesbury, AZ 60568",17-03-2022 17:00,substance abuse,low,within 2 hours
2651,Relationship Issue,breakup,"USS Jones, FPO AA 43062",06-01-2021 05:55,relationship issue,very low,within 4 hours
2652,Mental Health Concern,anxiety,"128 Camacho Dale, West Gloria, AL 55288",02-10-2022 19:51,mental health concern,very high,within 6 hours
2653,Financial Problem,financial problem,"814 Mayer Mount, South Sara, WV 31781",25-04-2023 18:42,financial problem,moderate,within 6 hours
2654,Relationship Issue,divorce,"7692 Thomas Loaf, East Nathan, ID 22099",06-12-2022 16:52,divorce,high,within 4 hours
2655,Health Issue,injury,"7216 Hughes Cliff, Port Robinberg, VA 67623",24-07-2020 10:33,sickness,very low,within 2 hours
2656,Mental Health Concern,mental health concern,"67571 Anthony Spurs Apt. 721, Rachelview, CO 90646",30-12-2021 20:54,depression,low,within 3 hours
2657,Health Issue,sickness,"31598 Jones Islands Apt. 306, New Amy, AS 84358",20-06-2020 01:32,medical condition,moderate,within 1 hour
2658,Relationship Issue,breakup,"88997 Kevin Pass Apt. 683, Danieltown, AR 06480",22-01-2023 08:31,family conflict,moderate,within 5 hours
2659,Relationship Issue,breakup,"PSC 8486, Box 3690, APO AE 98143",20-09-2023 16:44,relationship issue,low,within 2 hours
2660,Health Issue,health issue,"3257 Smith Vista Suite 544, Jamesmouth, IN 49690",22-10-2022 10:08,medical condition,very high,within 1 hour
2661,Health Issue,health issue,"61563 Hernandez Landing Apt. 619, Lake April, NE 99389",01-04-2020 05:52,sickness,very high,within 6 hours
2662,Mental Health Concern,mental health concern,"851 Bush Crescent Apt. 909, Cowanmouth, WV 10534",23-08-2020 10:31,anxiety,moderate,within 6 hours
2663,Substance Abuse,alcoholism,"2484 Brianna Overpass, Amandashire, AL 53775",14-04-2020 19:09,substance abuse,moderate,within 6 hours
2664,Substance Abuse,alcoholism,"1813 Johnson Plaza, Crystalside, TX 11783",13-11-2023 11:00,addiction,low,within 5 hours
2665,Financial Problem,money issue,"Unit 3097 Box 7120, DPO AA 38909",26-11-2022 07:43,financial problem,very low,within 5 hours
2666,Health Issue,injury,"196 Richard Tunnel, East Jennifer, VT 16894",30-05-2020 22:07,health issue,high,within 1 hour
2667,Relationship Issue,relationship issue,"50868 Lynch Mission Apt. 621, Millerborough, GA 62671",08-01-2024 05:49,loneliness,very high,within 5 hours
2668,Substance Abuse,drug abuse,"2048 Lopez Divide, Sharpmouth, PA 62895",27-12-2021 07:43,alcoholism,high,within 5 hours
2669,Relationship Issue,relationship issue,"USNS Richardson, FPO AA 84760",29-02-2020 13:10,breakup,very high,within 4 hours
2670,Mental Health Concern,stress,"23771 Nolan Lakes, Blackwellberg, MA 53303",30-10-2022 07:34,mental health concern,low,within 5 hours
2671,Substance Abuse,dependency,"06141 Lopez Mews, Vanessatown, MD 21763",30-01-2021 23:56,substance abuse,high,within 6 hours
2672,Relationship Issue,relationship issue,"96207 Joanne Fields, Port Jamestown, MS 80667",10-09-2020 08:51,family conflict,very high,within 3 hours
2673,Relationship Issue,breakup,"9975 Alicia Field, West Cynthiatown, VI 81987",22-02-2024 12:34,family conflict,low,within 1 hour
2674,Mental Health Concern,stress,"5822 Compton Islands Apt. 316, Marcoside, MO 42925",29-07-2023 09:21,stress,very low,within 1 hour
2675,Mental Health Concern,depression,"414 Rebecca Port Apt. 336, North Janetmouth, MT 88746",22-07-2023 11:35,stress,very low,within 1 hour
2676,Relationship Issue,family conflict,"86283 Banks Keys, Kellyton, AZ 01814",12-04-2023 08:54,family conflict,very low,within 2 hours
2677,Substance Abuse,substance abuse,"045 Adam Mountains, East Alejandro, NJ 64072",03-02-2023 01:38,substance abuse,low,within 6 hours
2678,Health Issue,illness,"7533 Jonathan Views Apt. 438, Bradleyshire, OK 90598",27-03-2020 21:34,sickness,moderate,within 6 hours
2679,Financial Problem,money issue,"734 Martin Courts, Jeanettehaven, AR 17043",29-01-2023 16:09,financial problem,high,within 3 hours
2680,Relationship Issue,breakup,"350 Keith Gardens Apt. 355, Armstronghaven, GA 25896",12-02-2020 04:24,divorce,very low,within 1 hour
2681,Financial Problem,debt,"6139 Porter Court, Port Frankland, NM 79226",13-05-2020 00:26,money issue,high,within 3 hours
2682,Mental Health Concern,depression,"Unit 9440 Box 8816, DPO AA 30108",10-02-2021 22:02,mental health concern,high,within 5 hours
2683,Relationship Issue,loneliness,"19299 Chris Alley Apt. 033, Port Paulfort, PR 29381",01-09-2021 12:55,family conflict,low,within 5 hours
2684,Relationship Issue,relationship issue,"840 Fuller Pike, New Zacharyberg, OR 06161",26-07-2020 16:06,breakup,moderate,within 1 hour
2685,Financial Problem,debt,"082 Sanders Burg Apt. 025, Port Jenna, TX 05588",15-02-2022 04:38,money issue,high,within 6 hours
2686,Mental Health Concern,mental health concern,"Unit 6199 Box 0996, DPO AA 85198",18-03-2024 09:15,trauma,very low,within 2 hours
2687,Substance Abuse,alcoholism,"8246 Matthews Springs Suite 660, Alexanderview, NY 86530",23-11-2022 10:54,addiction,very high,within 3 hours
2688,Health Issue,illness,"437 Cameron Gardens Apt. 515, New Brandon, HI 93970",27-06-2020 17:52,illness,moderate,within 4 hours
2689,Mental Health Concern,mental health concern,"3178 John Land, Port Patrick, CO 38925",12-06-2021 11:28,anxiety,very high,within 4 hours
2690,Health Issue,medical condition,"201 Ingram Village, Pachecoburgh, ID 44217",17-12-2023 10:02,medical condition,very high,within 1 hour
2691,Financial Problem,poverty,"USNS Russell, FPO AA 52233",14-05-2023 07:50,financial problem,high,within 5 hours
2692,Mental Health Concern,anxiety,"85469 Dean Manors Suite 848, Port Tristan, MS 41889",26-04-2020 07:05,trauma,high,within 1 hour
2693,Substance Abuse,alcoholism,"64771 Ewing Crest, Williamsborough, IL 50308",31-07-2022 11:47,alcoholism,low,within 3 hours
2694,Relationship Issue,loneliness,"423 Williams Manors, Lake Adrianamouth, MO 90289",30-07-2022 00:50,family conflict,very high,within 6 hours
2695,Health Issue,injury,"783 Pierce Prairie, Dalefort, OH 62114",09-02-2020 16:41,illness,very low,within 4 hours
2696,Financial Problem,poverty,"285 John Mews Suite 825, Carlsonfort, NH 19076",19-05-2022 05:42,debt,moderate,within 5 hours
2697,Financial Problem,financial problem,"164 Richard Inlet Suite 404, North Wendy, GA 57002",12-01-2020 21:49,debt,moderate,within 5 hours
2698,Financial Problem,money issue,"44155 Harris Trafficway Apt. 113, East Kevin, WY 08599",09-08-2021 10:32,debt,low,within 4 hours
2699,Substance Abuse,addiction,"79560 Ariana Orchard Suite 954, Lake Mirandaburgh, PW 23402",15-05-2021 01:03,dependency,moderate,within 1 hour
2700,Health Issue,health issue,"70180 Rodriguez Park Suite 880, Lake Christinechester, CO 35215",25-01-2020 10:04,injury,low,within 2 hours
2701,Health Issue,health issue,"79653 Cantrell Dale Apt. 213, Masonton, WY 98652",10-08-2023 20:36,injury,very low,within 3 hours
2702,Health Issue,injury,"6044 Lisa Park Suite 960, Stacytown, NH 83844",08-02-2020 18:21,illness,low,within 1 hour
2703,Substance Abuse,alcoholism,"93049 Jacob Circle, Smithborough, IL 25727",12-10-2022 22:50,addiction,very low,within 1 hour
2704,Financial Problem,debt,"26905 Turner Falls, Debrachester, MI 45367",06-10-2021 01:50,bankruptcy,high,within 5 hours
